Track,Album Name,Artist,Release Date,Spotify Streams,YouTube Views,TikTok Views
Calor,Calor - Single,Nicky Jam,8/31/2023,53809529.0,44666270.0,327422042.0
Aguacero,Un Verano Sin Ti,Bad Bunny,5/6/2022,342075557.0,128273450.0,1873295908.0
Quiere Beber,Real Hasta la Muerte,Anuel AA,7/17/2018,432365949.0,754077455.0,34316786.0
My Ordinary Life,My Ordinary Life,The Living Tombstone,11/23/2017,516198914.0,524696228.0,1835649149.0
Won't Forget You - Edit,Won't Forget You,Shouse,2/4/2022,142809304.0,47750136.0,16804128.0
Enough,Enough,charlieonnafriday,8/5/2022,127772228.0,45629160.0,79443024.0
Elastic Heart,Full Circle: The Live Anthology,Sia,11/20/2011,924784325.0,1537848233.0,663268482.0
Freaky Deaky,Freaky Deaky - Single,Tyga,2/25/2022,175043767.0,115406648.0,131915166.0
Straight and Narrow,Straight and Narrow,Sam Barber,4/12/2023,174154846.0,152441.0,2771.0
Bhai Tera Gunda,Bhai Tera Gunda - Single,Aman Jaji,2/17/2023,19938326.0,277255089.0,77382.0
Chasing That Feeling,The Name Chapter: FREEFALL,TOMORROW X TOGETHER,10/13/2023,76642740.0,100549018.0,111352056.0
Coï¿½ï¿½o (feat. Jhorrmountain x A,Coï¿½,Puri,1/1/2017,22218209.0,21093595.0,4873210023.0
To. X,To. X - The 5th Mini Album,TAEYEON,11/27/2023,43428134.0,80614524.0,76236081.0
ýýýýýýýýýýýýýý,ýýýýýýýýýýýýýý - Single,Wallem,3/12/2024,3636983.0,39164465.0,3865.0
2 Phones,2 Phones,Kevin Gates,11/6/2015,384977271.0,54470349.0,129310076.0
Melhor Sï¿,Melhor Sï¿,KayBlack,3/30/2023,178044172.0,104014904.0,41424590.0
It's Getting Hot,Cottonwood 2: Deluxe 2.0,NLE Choppa,4/14/2023,88138772.0,11033927.0,1170468833.0
On Chill (feat. Jeremih),On Chill (feat. Jeremih),Wale,7/12/2019,153042459.0,254751675.0,39684144.0
Tourniquet,Zach Bryan,Zach Bryan,8/25/2023,159880836.0,4864924.0,53019644.0
Strike (Holster),Strike (Holster),Lil Yachty,4/7/2023,86574948.0,39472824.0,269475247.0
Bad Boy (with Young Thug),Bad Boy (with Young Thug),Juice WRLD,1/15/2021,235609054.0,16271248.0,25701260.0
Collide (feat. Tyga),Collide (feat. Tyga) - Single,Justine Skye,8/25/2014,394458820.0,98862086.0,8421746009.0
Magic Johnson,Valedictorian [Deluxe],ian,5/31/2024,3884887.0,913.0,878600.0
Wine Into Whiskey,Wine Into Whiskey,Tucker Wetmore,2/23/2024,41953270.0,7636074.0,4502124.0
Rungkad,Rungkad,Happy Asmara,10/20/2022,43407503.0,100299695.0,1042434233.0
La Difï¿½ï¿,YHLQMDLG,Bad Bunny,2/29/2020,718032755.0,304269630.0,59989029.0
TE MUDASTE,EL ï¿½ï¿½LTIMO TOUR DEL M,Bad Bunny,11/27/2020,717202437.0,213527195.0,253170602.0
Right On,Right On,Lil Baby,4/8/2022,121466936.0,124159378.0,46858425.0
Blame,So Fresh ï¿½ï¿½ï¿½ The Hits Of Summer 2015 + Best O,Calvin Harris,1/1/2014,934248345.0,875518093.0,98339758.0
Low (feat. T-Pain),Low,Flo Rida,11/6/2007,1057114779.0,519089248.0,2202590339.0
La Mamï¿½ï¿½ de la M,La Mamï¿½ï¿½ de la Mamï¿½ï¿½ (feat. Chael Produciendo) ,El Alfa,4/8/2021,235729934.0,50135254.0,2710660328.0
Me Too,Me Too,Meghan Trainor,5/5/2016,486842946.0,93314560.0,1329533689.0
Bï¿½ï¿½ï¿½t Tï¿½ï¿½nh,Turn On Love - Single,Tï¿½ï¿½ng Duy ,2/14/2023,15832405.0,68240319.0,515579710.0
DONDE SE APRENDE A QUERER?,ESTRELLA,Mora,8/28/2023,170061927.0,16584925.0,38178869.0
Don't Go Insane,Don't Go Insane,DPR IAN,10/4/2023,76033359.0,31829453.0,1172424744.0
Thotiana,Famous Cryp,Blueface,6/20/2018,374553396.0,406426712.0,578801821.0
Hasbi Rabbi,Hasbi Rabbi,Huda Sisters,11/14/2019,693675.0,943370184.0,23009253.0
Asking,Asking (feat. Clementine Douglas),Sonny Fodera,7/7/2023,86564714.0,7626020.0,2191926.0
The Bigger Picture,My Turn (Deluxe),Lil Baby,2/28/2020,254130819.0,268797796.0,106366054.0
Cash In Cash Out,Cash In Cash Out,Pharrell Williams,6/10/2022,172589732.0,21990862.0,338747583.0
Off The Grid,Donda,Kanye West,8/29/2021,266927787.0,39769157.0,93786735.0
EL TONTO,EL DRAGï¿½,Lola Indigo,4/13/2023,153105498.0,47288100.0,286515216.0
Sex on Fire,Balance Le Son,Kings of Leon,1/1/2008,1427050913.0,683904891.0,391021166.0
Bangarang (feat. Sirah),Bangarang EP,Skrillex,12/23/2011,474420154.0,1122789221.0,1383691192.0
Raindrops (Insane) [with Travis Scott],HEROES & VILLAINS,Metro Boomin,12/2/2022,197477305.0,187253.0,19317127.0
